ApiModule.java,Vitalii Parfonov Sergii Leschenko Vitaly Parfonov Eugene Ivantsov Sergii Kabashniuk Alexander Garagatyi Aleksandr Andrienko Vitaliy Guliy Florent BENOIT
ApiServletModule.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov Dmitry Shnurenko
IDE.gwt.xml,Vitalii Parfonov RomanNikitenko Oleksii Orel Anatoliy Bazko Roman Nikitenko Vitaly Parfonov Valeriy Svydenko Mykhailo Kuznietsov Mihail Kuznyetsov Michail Kuznetsov Vladyslav Zhukovskii Sergii Kabashniuk Dmitry Shnurenko Aleksandr Andrienko Vladyslav Zhukovskyi Artem Zatsarynnyi
IDE.css,Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Vitaliy Guliy Michail Kuznetsov Artem Zatsarynnyi
predefined-recipes.json,Vitalii Parfonov Sergii Leschenko Max Shaposhnik Vitaly Parfonov Sergii Kabashniuk
IDE.jsp,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Dmitry Kuleshov Mihail Kuznyetsov Sergii Kabashniuk Vitaliy Guliy Michail Kuznetsov Artem Zatsarynnyi
context.xml,Vitalii Parfonov Roman Iuvshyn Anton Korneta Max Shaposhnik Vitaly Parfonov Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Sergii Leshchenko Mihail Kuznyetsov Artem Zatsarynnyi
che.properties,Oleksii Orel Vitaly Parfonov Anna Shumilova Vladyslav Zhukovskyi Mario Loriedo Tyler Jewell Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Lukas Krejci Sergii Kabashniuk Sun Seng David TAN Mykola Morhun Florent BENOIT Vitalii Parfonov Ann Shumilova Roman Iuvshin Anton Korneta Mihail Kuznyetsov Oleksandr Garagatyi Alexander Garagatyi Artem Zatsarynnyi Anatoliy Bazko David Festal Aleksandr Andrienko Eugene Ivantsov Ilya Buziuk Sergii Leshchenko Michail Kuznetsov Angel Misevski
web.xml,Sergey Skorik Vitaly Parfonov Dmitry Shnurenko Anna Shumilova Dmytro Nochevnov Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Sergii Kabashniuk Thomas Mäder Florent BENOIT Vitalii Parfonov Anton Korneta Igor Vinokur Mihail Kuznyetsov Oleksandr Garagatyi Alexander Garagatyi Igor Ohrimenko Maxim Musienko Artem Zatsarynnyi Roman Iuvshyn Anatoliy Bazko Sergii Leshchenko Michail Kuznetsov
browserNotSupported.js,Vitalii Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Vitaliy Guliy Michail Kuznetsov Artem Zatsarynnyi
favicon.ico,Max Shaposhnik Aleksandr Shmaraiev Sergii Kabashniuk Mykola Morhun Sergii Leshchenko
LICENSE-mit.txt,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Sergii Kabashniuk Artem Zatsarynnyi
assembly.xml,Brad Micklea Vitaly Parfonov Valeriy Svydenko Anna Shumilova Oleksii Kurinnyi Tyler Jewell Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Sergii Kabashniuk Thomas Mäder Mykola Morhun Florent BENOIT Vitalii Parfonov Ann Shumilova Yevhenii Voievodin Anton Korneta Mihail Kuznyetsov Alexander Garagatyi Evgen Vidolob Artem Zatsarynnyi Anatoliy Bazko Roman Iuvshyn Aleksandr Andrienko Sergii Leshchenko Michail Kuznetsov
setenv.sh,Vitalii Parfonov Roman Iuvshin Vitaly Parfonov Max Shaposhnik Florent BENOIT Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Alexander Garagatyi Sergii Leshchenko Michail Kuznetsov Artem Zatsarynnyi
ApiEndpointAccessibilityChecker.java,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Florent BENOIT Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Alexander Garagatyi Eugene Ivantsov Mihail Kuznyetsov Artem Zatsarynnyi
ApiEndpointProvider.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
EventBusURLProvider.java,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
MachineModule.java,Vitalii Parfonov RomanNikitenko Sergii Leschenko Anton Korneta Roman Nikitenko Max Shaposhnik Vitaly Parfonov Florent BENOIT Igor Vinokur Michail Kuznetsov Dmitry Kuleshov Yevhenii Voevodin Sergii Kabashniuk Dmitry Shnurenko Alexander Garagatyi Mykhailo Kuznietsov Mihail Kuznyetsov Artem Zatsarynnyi
UriApiEndpointProvider.java,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
UserTokenProvider.java,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
che-machine-configuration.properties,Vitalii Parfonov Vitaly Parfonov Valeriy Svydenko Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Dmitry Shnurenko Alexander Garagatyi Mihail Kuznyetsov Artem Zatsarynnyi
README,Vitalii Parfonov Anatoliy Bazko Tyler Jewell Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Oleksandr Garagatyi Sergii Kabashniuk Eugene Ivantsov Stévan Le Meur
che-install-plugin.bat,Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
che-install-plugin.sh,Vitalii Parfonov Anatoliy Bazko Tyler Jewell Vitaly Parfonov Max Shaposhnik Michail Kuznetsov Sergii Kabashniuk Eugene Ivantsov Mihail Kuznyetsov Artem Zatsarynnyi
che.bat,Tyler Jewell Florent BENOIT Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov
che-ide-extension-client-server.txt,Sergii Kabashniuk Vitalii Parfonov Stévan Le Meur
che-ide-extension-simple.txt,Sergii Kabashniuk Vitalii Parfonov Stévan Le Meur
che-server-extension.txt,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov Stévan Le Meur
rewrite.config,Vitalii Parfonov Yevhenii Voevodin Vitaly Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov
.travis.yml,Yevhenii Voevodin Anton Korneta Sergii Kabashniuk Alexander Garagatyi Michail Kuznetsov
Channels.java,Sergii Kabashniuk Alexander Garagatyi
Command.java,Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Oleksandr Garagatyi Sergii Kabashniuk Sergii Leshchenko Michail Kuznetsov Artem Zatsarynnyi
Limits.java,Sergii Kabashniuk Alexander Garagatyi
Machine.java,Vitalii Parfonov RomanNikitenko Anton Korneta Roman Nikitenko Vitaly Parfonov Yevhenii Voevodin Max Shaposhnik Gennady Azarenkov Michail Kuznetsov Mykhailo Kuznietsov Oleksandr Garagatyi Sergii Kabashniuk Alexander Garagatyi Dmitry Shnurenko Vitaliy Guliy Sergii Leshchenko Mihail Kuznyetsov Artem Zatsarynnyi
MachineConfig.java,Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Oleksandr Garagatyi Sergii Kabashniuk Alexander Garagatyi Lukas Krejci Sergii Leshchenko Michail Kuznetsov Artem Zatsarynnyi
MachineMetadata.java,Sergii Kabashniuk
MachineProcess.java,Yevhenii Voevodin Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Korneta Anton Michail Kuznetsov
MachineSource.java,Max Shaposhnik Florent BENOIT Gennady Azarenkov Mihail Kuznyetsov Oleksandr Garagatyi Sergii Kabashniuk Alexander Garagatyi Korneta Anton Michail Kuznetsov Artem Zatsarynnyi
MachineState.java,Sergii Kabashniuk Alexander Garagatyi
MachineStatus.java,Max Shaposhnik Mykhailo Kuznietsov Gennady Azarenkov Mihail Kuznyetsov Oleksandr Garagatyi Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
Recipe.java,Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Alexander Garagatyi Michail Kuznetsov Artem Zatsarynnyi
Server.java,Mario Loriedo Vitalii Parfonov Yevhenii Voevodin Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Gennady Azarenkov Michail Kuznetsov Oleksandr Garagatyi Sergii Kabashniuk Alexander Garagatyi Mihail Kuznyetsov Artem Zatsarynnyi
Snapshot.java,Yevhenii Voevodin Anton Korneta Max Shaposhnik Mihail Kuznyetsov Oleksandr Garagatyi Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
SourceStorage.java,Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Lukas Krejci Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
Folder.java,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Gennady Azarenkov Mihail Kuznyetsov Michail Kuznetsov Vladyslav Zhukovskii Sergii Kabashniuk Thomas Mäder Vladyslav Zhukovskyi Artem Zatsarynnyi
Attribute.java,Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
ProjectType.java,Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
Value.java,Vitalii Parfonov Anatoliy Bazko Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Mihail Kuznyetsov Artem Zatsarynnyi
Environment.java,Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Alexander Garagatyi Sergii Leshchenko Michail Kuznetsov Artem Zatsarynnyi
EnvironmentState.java,Sergii Kabashniuk Alexander Garagatyi
Project.java,Vitaly Parfonov Valeriy Svydenko Vladyslav Zhukovskii Vladyslav Zhukovskyi Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Sergii Kabashniuk Thomas Mäder Florent BENOIT Vitalii Parfonov Dmytro Kulieshov Alexander Garagatyi Artem Zatsarynnyi Gennady Azarenkov Michail Kuznetsov Eugene Ivantsov Sergii Leshchenko Mihail Kuznyetsov
ProjectConfig.java,RomanNikitenko Vitalii Parfonov Yevhenii Voevodin Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Alexander Garagatyi Mihail Kuznyetsov Artem Zatsarynnyi
RuntimeWorkspace.java,Yevhenii Voevodin Sergii Kabashniuk Alexander Garagatyi
UsersWorkspace.java,Yevhenii Voevodin Sergii Kabashniuk Alexander Garagatyi
WorkspaceConfig.java,Sergey Skorik Yevhenii Voevodin Anton Korneta Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Oleksandr Garagatyi Sergii Kabashniuk Alexander Garagatyi Igor Ohrimenko Sergii Leshchenko Mihail Kuznyetsov Artem Zatsarynnyi
WorkspaceStatus.java,Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Gennady Azarenkov Mihail Kuznyetsov Sergii Kabashniuk Alexander Garagatyi Michail Kuznetsov Artem Zatsarynnyi
Model.gwt.xml,Vitalii Parfonov Yevhenii Voevodin Anton Korneta Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Mihail Kuznyetsov Artem Zatsarynnyi
CommandProcess.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
ConfigImpl.java,Sergii Kabashniuk Michail Kuznetsov Igor Vinokur Mihail Kuznyetsov
GitAskPassScript.java,Vitalii Parfonov Sergii Leschenko Gennady Azarenkov Michail Kuznetsov Sergii Kabashniuk Mihail Kuznyetsov
GitUrl.java,Sergii Kabashniuk Igor Vinokur
LocalGitUserResolver.java,Sergii Leschenko Yevhenii Voevodin Igor Vinokur Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Mihail Kuznyetsov Artem Zatsarynnyi
NativeGit.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov Anatoliy Bazko
NativeGitConnection.java,Anatoliy Bazko Igor Vinokur Max Shaposhnik Michail Kuznetsov Sergii Kabashniuk Mihail Kuznyetsov
NativeGitConnectionFactory.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov Anatoliy Bazko
NativeGitDiffPage.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
NativeGitMergeResult.java,Sergii Kabashniuk Igor Vinokur
NativeGitStatusImpl.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
UserIdentity.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
AddCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
BranchCreateCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
BranchDeleteCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov Anatoliy Bazko
BranchListCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
BranchRenameCommand.java,Anatoliy Bazko Igor Vinokur Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov
CheckoutCommand.java,Michail Kuznetsov Sergii Kabashniuk Max Shaposhnik Mihail Kuznyetsov
CloneCommand.java,Anatoliy Bazko Igor Vinokur Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov
CommitCommand.java,Sergii Kabashniuk Michail Kuznetsov Igor Vinokur Mihail Kuznyetsov
DiffCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
EmptyGitCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
FetchCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov Anatoliy Bazko
GetConfigCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
GitCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
InitCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
ListFilesCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
LogCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
LsRemoteCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov Anatoliy Bazko
MergeCommand.java,Sergii Kabashniuk Michail Kuznetsov Igor Vinokur Mihail Kuznyetsov
MoveCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
PullCommand.java,Anatoliy Bazko Igor Vinokur Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov
PushCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov Anatoliy Bazko
RemoteAddCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
RemoteDeleteCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
RemoteListCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
RemoteOperationCommand.java,Anatoliy Bazko Igor Vinokur Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov
RemoteUpdateCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
RemoveCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
ResetCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
SetConfigCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
ShowFileContentCommand.java,Sergii Kabashniuk Michail Kuznetsov Igor Vinokur Mihail Kuznyetsov
StatusCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
TagCreateCommand.java,Sergii Kabashniuk Michail Kuznetsov Igor Vinokur Mihail Kuznyetsov
TagDeleteCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
TagListCommand.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
GitSshScript.java,Sergii Kabashniuk
GitSshScriptProvider.java,Sergii Kabashniuk
SshKeyProvider.java,Anatoliy Bazko Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
SshKeyProviderImpl.java,Anatoliy Bazko Igor Vinokur Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Mihail Kuznyetsov Artem Zatsarynnyi
SshKeyUploader.java,Anatoliy Bazko Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
UnixGitSshScript.java,Sergii Kabashniuk
WindowsGitSshScript.java,Sergii Kabashniuk
NativeGitAskPassTemplate,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
SshTemplate,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
SshManagerTest.java,Sergii Kabashniuk Michail Kuznetsov Mihail Kuznyetsov
GitConnectionFactoryProvider.java,Anatoliy Bazko Igor Vinokur Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
SshScriptProviderTest.java,Anatoliy Bazko Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
logback-test.xml,Vitaly Parfonov Valeriy Svydenko Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Lukas Krejci Sergii Kabashniuk Thomas Mäder Mykola Morhun Stéphane Tournié Vitalii Parfonov Anton Korneta Igor Vinokur Mihail Kuznyetsov Oleksandr Garagatyi Alexander Garagatyi Artem Zatsarynnyi Anatoliy Bazko Roman Iuvshyn Sergii Leshchenko Michail Kuznetsov
AccessControlList.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
AccessControlListSerializer.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
AutoMountVirtualFileSystemRegistry.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
CleanableSearcher.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
CleanableSearcherProvider.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
DataSerializer.java,Vitalii Parfonov Dmytro Kulieshov Vitaly Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
FSIndexSearcher.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
FSMountPoint.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
FileLock.java,Vitalii Parfonov Dmytro Kulieshov Vitaly Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
FileLockSerializer.java,Vitalii Parfonov Dmytro Kulieshov Vitaly Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
FileMetadataSerializer.java,Vitalii Parfonov Dmytro Kulieshov Vitaly Parfonov Max Shaposhnik Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
GitUrlResolver.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
LocalFSMountStrategy.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
LocalFileSystem.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
LocalFileSystemProvider.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
LocalFileSystemRegistryPlugin.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
LocalPathResolver.java,Sergii Kabashniuk
LocalVirtualFileSystemRegistry.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
MachineFSMountStrategy.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
MappedDirectoryLocalFSMountStrategy.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
MountPointCacheCleaner.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
VirtualFileImpl.java,Vitalii Parfonov Anatoliy Bazko Vitaly Parfonov Vladyslav Zhukovskii Sergii Kabashniuk Vladyslav Zhukovskyi
VirtualFileSystemFSModule.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
WorkspaceHashLocalFSMountStrategy.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
WorkspaceToDirectoryMappingService.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
indices_types.txt,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
AutoMountVirtualFileSystemRegistryTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
ChildrenTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
ContentTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
CopyTest.java,Vitalii Parfonov Anatoliy Bazko Vitaly Parfonov Max Shaposhnik Aleksandr Shmaraiev Oleksandr Garagatyi Sergii Kabashniuk
CreateTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
DeleteTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
EventsTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
GetAvailableFileSystemsTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
GetItemTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
GetVFSInfoTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
GitUrlResolverTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
ImportTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
LocalFileSystemTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
LockTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
MappedDirectoryLocalFSMountStrategyTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
MoveTest.java,Vitalii Parfonov Anatoliy Bazko Vitaly Parfonov Max Shaposhnik Aleksandr Shmaraiev Oleksandr Garagatyi Sergii Kabashniuk
RenameTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
ResourceLoaderTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
SearcherTest.java,Vitalii Parfonov Vitaly Parfonov Mykhailo Kuznietsov Gennady Azarenkov Sergii Kabashniuk Eugene Ivantsov
UpdateTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
UploadFileTest.java,Sergii Kabashniuk Vitaly Parfonov Vitalii Parfonov
content-types.properties,Vitalii Parfonov Vitaly Parfonov Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
Nullable.java,Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
EnvironmentContext.java,Sergii Leschenko Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Sergii Leshchenko Michail Kuznetsov Artem Zatsarynnyi
User.java,Sergii Leschenko Yevhenii Voevodin Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Alexander Garagatyi Michail Kuznetsov Artem Zatsarynnyi
UserImpl.java,Sergii Leschenko Anatoliy Bazko Yevhenii Voevodin Anton Korneta Max Shaposhnik Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Alexander Garagatyi Mihail Kuznyetsov Artem Zatsarynnyi
EnvironmentContextTest.java,Dmytro Nochevnov Sergii Leschenko Max Shaposhnik Florent BENOIT Mykhailo Kuznietsov Michail Kuznetsov Sergii Kabashniuk Aleksandr Andrienko Mihail Kuznyetsov Artem Zatsarynnyi
WebWorker.gwt.xml,Sergii Kabashniuk Vitalii Parfonov
Message.java,Dmytro Nochevnov Vitalii Parfonov Valeriy Svydenko Max Shaposhnik Mykhailo Kuznietsov Mihail Kuznyetsov Sergii Kabashniuk Michail Kuznetsov Artem Zatsarynnyi
